Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Emmanuel Rodriguez","MIN",17.758,71.166,61.0105,13.053,8.26411,2.53001,0.465234,1.79366,8.75533,6.23299,9.07194,0.148655,23.8058,0.599873,0.38309,0.100566,0.93032,1.78447,0.307357,0.213947,0.127476,0.334511,0.381081,0.319773,0.358864,0.302536,0.678637,0.144917,6.16794,0.314558,,0.113601,7.80102,-0.607792,92.1916,0.113601,0,-0.5413472130894661,-0.2740432024002075,0.167181,999,,,,,,,73.1,4.061111111,73.1,4.061111111,,,,,,,,,,,,,,,,,,,"Emmanuel Rodriguez","sa3014693",691181
"Justyn-Henry Malloy","TBR",38.715,141.351,123.112,28.8675,19.0765,5.63065,0.25694,3.90338,15.5972,15.5251,15.5382,0.0724975,37.4819,1.60452,0.948824,0.147024,2.35651,0.893658,0.346662,0.234481,0.109926,0.265169,0.414552,0.325842,0.379508,0.312443,0.70535,0.145027,3.12499,0.301951,,-0.201861,16.6314,-0.0702615,98.8918,-0.201861,-0.38,-0.3864905387163162,-2.8551653623580933,0.166096,999,,,,,,,150.3,3.853846153,150.3,3.853846153,,,,,,,,,,,,,,,,,,,"Justyn-Henry Malloy","29606",669234
"Jahmai Jones","DET",42.232,138.322,121.625,29.6379,18.2747,6.49326,0.328802,4.54116,17.525,15.0056,12.8968,0.124351,32.5011,2.07634,0.861818,0.861547,2.21189,3.01178,0.870775,0.243682,0.0932376,0.234967,0.396811,0.324537,0.414488,0.323,0.739025,0.170806,4.64028,0.293718,,0.027088,17.4607,1.11689,106.796,0.027088,0,1.1350041534751654,-4.287686824798584,0.164532,999,,,,,,,158.3,3.769047619,158.3,3.769047619,,,,,,,,,,,,,,,,,,,"Jahmai Jones","18872",663330
"Leo De Vries","ATH",8.033,30.846,27.7964,6.80011,3.8603,1.5955,0.167507,1.17681,3.85287,3.79964,2.46438,0.157068,6.97441,0.28108,0.240727,0.063443,0.354011,0.570998,0.104083,0.24464,0.079893,0.226104,0.353346,0.310097,0.441102,0.322127,0.751199,0.196462,5.3635,0.282779,,0.0290036,3.8719,0.227207,103.626,0.0290036,0,0.16082471795380116,0.3718981444835663,0.163126,999,,,,,,,34.3,4.2875,34.3,4.2875,,,,,,,,,,,,,,,,,,,"Leo De Vries","sa3023363",815888
"Anthony Santander","TOR",27.357,115.687,102.939,22.9434,13.0439,4.31907,0.144989,5.43545,13.6489,15.4799,10.4999,0.345546,25.3285,1.27153,0.868625,0.108293,1.7048,0.30356,0.100307,0.222884,0.0907616,0.21894,0.41455,0.300357,0.426068,0.313808,0.726425,0.203183,2.44049,0.239693,,-0.141907,13.74,0.0707378,101.318,-0.141907,0,0.03783103823661804,-2.427511692047119,0.162889,743.9600219726562,,,,,,,117.4,4.348148148,117.4,4.348148148,,,,,,,,,,,,,,,,,,,"Anthony Santander","14551",623993
"Ryan Ritter","COL",59.257,227.506,205.101,50.0462,34.7429,10.1456,1.51673,3.64106,24.7896,20.3983,15.3756,0.464631,62.0605,3.64021,1.40569,1.98305,4.10679,3.88223,1.05993,0.244007,0.0675833,0.272786,0.247752,0.306231,0.361521,0.293792,0.667752,0.117514,5.44002,0.329569,,-0.00944478,23.3234,-3.55819,73.189,-0.00944478,0.65,-7.238798680715263,1.2509307265281677,0.161788,999,,,,,,,214.8,3.640677966,214.8,3.640677966,,,,,,,,,,,,,,,,,,,"Ryan Ritter","31500",690022
"Luis Rengifo","MIL",106.859,424.874,390.853,93.8155,70.3068,15.6098,2.11604,5.78288,43.3543,38.6959,26.2695,0.410233,76.6682,3.84686,2.76062,1.14419,8.25699,12.2677,4.04789,0.240028,0.0618288,0.180449,0.342638,0.292478,0.33518,0.277275,0.627658,0.0951522,5.28013,0.282915,,0.135606,37.8596,-12.3425,76.2822,0.135606,-2.41,-11.80781053006649,-0.7609415054321289,0.160314,628.8200073242188,,,,,,,351.2,3.28224299,351.2,3.28224299,,,,,,,,,,,,,,,,,,,"Luis Rengifo","19858",650859
"Kyle Farmer","ATL",23.161,87.652,79.6883,18.8947,12.9239,3.48091,0.284314,2.20557,9.46083,9.32588,5.19003,0.0428802,19.3746,1.72223,0.618867,0.140133,1.69255,0.740077,0.334211,0.237108,0.0592118,0.221041,0.267878,0.295886,0.370957,0.292615,0.666843,0.13385,3.87701,0.284182,,-0.119519,8.90217,-1.45459,85.5652,-0.119519,-0.09,-1.6190849766135216,0.26742279529571533,0.160072,999,,,,,,,76.8,3.339130434,76.8,3.339130434,,,,,,,,,,,,,,,,,,,"Kyle Farmer","14813",571657
"Curtis Mead","CHW",25.473,92.431,84.6007,20.3326,13.5629,4.24482,0.191766,2.3331,9.67983,9.4982,5.59704,0.190557,19.0803,1.48519,0.638622,0.109456,1.49495,1.25965,0.457202,0.240336,0.0605537,0.206428,0.293341,0.296949,0.377777,0.294696,0.674726,0.137442,3.96993,0.282009,,-0.0703367,9.5437,-1.37773,87.2919,-0.0703367,-0.09,-1.4547640308737755,-0.16862038522958755,0.159397,999,,,,,,,80.3,3.212,80.3,3.212,,,,,,,,,,,,,,,,,,,"Curtis Mead","23986",678554
"Christopher Morel","MIA",92.338,352.403,314.69,69.8864,40.1354,14.6124,1.07677,14.0619,41.9882,44.0018,31.263,0.66194,106.728,3.68457,2.28751,0.477478,5.11274,7.39141,2.44148,0.22208,0.0887137,0.302859,0.292921,0.297887,0.409412,0.307139,0.707299,0.187332,4.73671,0.284546,,-0.0128514,39.9464,-1.69278,94.644,-0.0128514,-0.55,-2.2498847292736173,-7.943707287311554,0.156635,999,,,,,,,370.5,4.027173913,370.5,4.027173913,,,,,,,,,,,,,,,,,,,"Christopher Morel","21897",666624
"Nolan Jones","CLE",31.361,118.486,103.977,23.3695,15.4889,4.50929,0.40518,2.96614,13.4862,11.4651,12.4909,0.481719,34.129,1.05285,0.692885,0.27233,1.95233,2.52491,0.703603,0.224757,0.105421,0.288043,0.365991,0.312259,0.361499,0.297818,0.673759,0.136743,4.96745,0.301938,,0.0283608,12.5343,-1.46578,90.8842,0.0283608,0,-1.2446618247777224,-1.3060625791549683,0.156269,999,,,,,,,109.4,3.529032258,109.4,3.529032258,,,,,,,,,,,,,,,,,,,"Nolan Jones","20529",666134
"Mike Tauchman","NYM",44.578,169.724,147.302,33.283,22.578,6.40118,0.0762361,4.2276,18.5732,16.9215,19.4042,0.108455,38.5209,1.72229,0.961347,0.333737,3.31332,1.07686,0.479277,0.22595,0.114328,0.226962,0.503733,0.321208,0.356542,0.302795,0.67775,0.130592,2.63528,0.275367,,-0.268707,18.6404,-1.41382,96.3106,-0.268707,-0.41,-1.0108558535575867,-3.1212617456912994,0.154967,999,,,,,,,157.7,3.504444444,157.7,3.504444444,,,,,,,,,,,,,,,,,,,"Mike Tauchman","15274",643565
"Reese McGuire","MIL",19.364,63.75,58.2858,12.5731,8.40949,2.25007,0.158849,1.75471,5.87617,7.14606,3.85167,0.0894024,15.2614,0.563603,0.389249,0.461644,1.12947,0.399805,0.140308,0.215715,0.0604184,0.239394,0.25238,0.269271,0.350085,0.270994,0.619356,0.13437,3.17889,0.259689,,-0.0615723,5.3555,-2.17705,71.9791,-0.0615723,0.07,-2.1787428967654705,1.5641358569264412,0.154121,999,,,,,,,54.4,2.863157894,54.4,2.863157894,,,,,,,,,,,,,,,,,,,"Reese McGuire","15674",624512
"CJ Kayfus","CLE",75.303,292.512,262.559,60.8006,39.1609,12.4784,1.65733,7.50389,32.2511,29.9481,23.7605,0.329234,82.5419,3.6769,1.84453,0.671346,4.553,3.0952,0.858718,0.23157,0.0812292,0.282183,0.28786,0.30235,0.37746,0.298275,0.67981,0.14589,4.62103,0.305675,,-0.170107,31.0523,-3.51022,91.1986,-0.170107,-0.47,-3.204456627368927,-5.361560076475143,0.15365,999,,,,,,,286.9,3.825333333,286.9,3.825333333,,,,,,,,,,,,,,,,,,,"CJ Kayfus","33704",692216
"Alex Freeland","LAD",20.437,78.155,69.5621,15.1575,10.0079,2.99437,0.214753,1.94047,9.32951,7.71163,7.19377,0.135502,21.4999,0.773347,0.480897,0.144922,1.21732,1.63519,0.527083,0.217899,0.0920449,0.275093,0.334596,0.296431,0.350806,0.286523,0.647238,0.132907,4.94906,0.283612,,-0.00658178,7.55103,-1.68359,82.3717,-0.00658178,0.12,-1.6394874998368323,0.5254960283637047,0.152061,999,,,,,,,66.5,3.325,66.5,3.325,,,,,,,,,,,,,,,,,,,"Alex Freeland","31665",690976
"Esteury Ruiz","MIA",34.617,109.787,99.1389,23.2734,16.4898,4.1366,0.711063,1.93594,14.1632,8.19688,7.09017,0.112813,25.7387,2.23869,0.658092,0.63116,1.42219,9.1249,1.97867,0.234756,0.0645811,0.234442,0.275468,0.298759,0.349408,0.28659,0.648167,0.114653,7.66965,0.295851,,0.844978,10.6132,-2.35898,80.5677,0.844978,-0.56,-1.6835634112358093,-0.48368388414382935,0.151974,744.260009765625,,,,,,,104.4,2.982857142,104.4,2.982857142,,,,,,,,,,,,,,,,,,,"Esteury Ruiz","21780",665923
"Luis Matos","SFG",47.615,182.273,169.397,42.1713,27.8881,8.57291,0.53258,5.17778,20.4048,20.2586,9.14589,0.333727,25.2883,1.64879,1.48545,0.596218,3.02069,2.99766,0.980956,0.24895,0.0501769,0.138739,0.361664,0.29154,0.397545,0.297881,0.689084,0.148594,4.30965,0.263457,,-0.0553534,19.2913,-2.24565,92.0363,-0.0553534,-0.95,-1.7757613584399223,-2.808610260486603,0.151412,999,,,,,,,180.9,3.76875,180.9,3.76875,,,,,,,,,,,,,,,,,,,"Luis Matos","26467",682641
"Nacho Alvarez Jr.","ATL",15.513,53.344,48.0512,11.5548,8.44478,1.96074,0.219579,0.92973,5.7976,4.86946,4.04844,0.13303,11.1155,0.818642,0.283222,0.142507,1.05018,0.704325,0.28576,0.240469,0.075893,0.208374,0.364215,0.308674,0.34846,0.291083,0.657134,0.107991,4.46493,0.29279,,-0.0631612,5.35139,-0.95162,84.5154,-0.0631612,0.01,-1.0421551167964935,0.7281944248825312,0.149459,999,,,,,,,51.3,3.20625,51.3,3.20625,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
"DJ LeMahieu",,30.274,106.673,95.7184,22.586,17.0767,3.47514,0.231543,1.80261,10.8932,9.76116,9.64731,0.0665031,23.0807,0.435312,0.583819,0.288187,2.96637,0.336745,0.156696,0.235963,0.0904381,0.216368,0.417982,0.307079,0.333604,0.285916,0.640684,0.0976413,2.73062,0.291006,,-0.175678,10.2538,-2.35045,81.1179,-0.175678,0,-2.5562992691993713,0.3919495642185211,0.147936,999,,,,,,,90.3,3.01,90.3,3.01,,,,,,,,,,,,,,,,,,,"DJ LeMahieu","9874",518934
"Dylan Moore","PHI",45.886,163.522,144.244,30.135,17.8441,6.02907,0.577836,5.68394,21.4094,16.864,14.6194,0.158559,49.1113,3.19274,1.04631,0.35379,1.37986,8.30949,2.67815,0.208916,0.0894034,0.300334,0.29768,0.293969,0.376941,0.295164,0.67091,0.168025,6.50722,0.270191,,0.330804,16.9461,-2.37524,86.1718,0.330804,-0.23,-2.349201500415802,-1.64623461663723,0.14784,999,,,,,,,164.3,3.57173913,164.3,3.57173913,,,,,,,,,,,,,,,,,,,"Dylan Moore","18042",664238
"Jon Berti",,40.752,142.264,129.657,31.2434,24.1723,5.17483,0.731371,1.16489,16.3172,9.915,9.68532,0.173885,31.6313,1.21253,0.734894,0.851003,2.8384,6.8518,1.77132,0.240969,0.0680799,0.222343,0.306194,0.298261,0.319116,0.274904,0.617377,0.0781464,6.23652,0.308195,,0.4146,12.4029,-4.40668,73.5528,0.4146,-0.18,-4.032319873571396,0.6474853157997131,0.146306,999,,,,,,,113.9,2.77804878,113.9,2.77804878,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Max Schuemann","NYY",20.305,69.343,61.1348,13.5794,9.6751,2.49737,0.229528,1.17738,7.52727,5.37678,5.90745,0.0705877,15.5929,1.18599,0.520124,0.594654,1.19792,1.83448,0.523948,0.222122,0.0851917,0.224866,0.378856,0.300703,0.328258,0.281301,0.62896,0.106136,5.12515,0.276308,,0.0420967,6.40565,-1.78776,79.4497,0.0420967,0.04,-1.6374564915895462,0.6666975393891335,0.144866,999,,,,,,,54.6,2.73,54.6,2.73,,,,,,,,,,,,,,,,,,,"Max Schuemann","24488",680474
