Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Evan Phillips","LAD",2,1,0,3.38019,28,0,0,1,,28,114,23,11,11,3,9,,1,30,9.69571,2.97862,3.25511,1.06596,0.2646,0.0812877,0.18331249803304672,0.217879,1.13618,0.274715,0.748139,,,3.64739,0.0758277,0.0922871,999,,,,,,,144.50000000000006,5.160714285714287,135,4.821428571428571,,,,,,,,,,,,,,,,,,,"Evan Phillips","17734",623465
"Hunter Bigge","TBR",3,3,0,3.68701,52,0,0,7,,52,228,45,23,21,7,22,,3,59,10.1816,3.86349,2.63535,1.17354,0.257621,0.0977561,0.15986524522304535,0.220271,1.29084,0.275945,0.760987,,,4.00747,0.0752916,0.0778052,999,,,,,,,252.70000000000005,4.859615384615386,240,4.615384615384615,,,,,,,,,,,,,,,,,,,"Hunter Bigge","26259",685801
"Craig Yoho","MIL",2,2,0,3.48665,40,0,0,1,,40,171,33,17,15,4,18,,2,45,10.2141,4.05939,2.51617,0.962272,0.26481,0.105244,0.15956687927246094,0.217842,1.2754,0.282193,0.757092,,,3.7599,0.0733577,0.0886871,999,,,,,,,195,4.875,182,4.55,,,,,,,,,,,,,,,,,,,"Craig Yoho","33248",684974
"Cade Povich","BAL",1,1,1,4.37095,15,2,0,1,,20,85,19,11,10,3,7,,1,19,8.33702,3.21289,2.59487,1.29059,0.220961,0.0851529,0.13580778241157532,0.245316,1.28642,0.289092,0.696324,,,4.35747,0.0733099,0.00115636,999,,,,,,,79.69999999999999,3.9849999999999994,79,3.95,,,,,,,,,,,,,,,,,,,"Cade Povich","30055",700249
"Zack Kelly","BOS",3,3,0,4.2812,58,0,0,12,,58,253,54,30,28,7,28,,3,57,8.78183,4.34592,2.02071,1.05114,0.223692,0.1107,0.11299188435077667,0.24268,1.41162,0.296931,0.714732,,,4.30712,0.0723834,0.0792641,999,,,,,,,271.70000000000005,4.684482758620691,268,4.620689655172414,,,,,,,,,,,,,,,,,,,"Zack Kelly","20349",677161
"Jonathan Pintaro","NYM",2,1,2,3.88945,24,2,0,1,,28,124,25,13,12,3,14,,1,28,8.85338,4.42112,2.00252,0.976257,0.226465,0.11309,0.1133752167224884,0.228384,1.35914,0.280438,0.734816,,,4.20849,0.0711893,0.0860682,999,,,,,,,120.30000000000004,4.296428571428573,116,4.142857142857143,,,,,,,,,,,,,,,,,,,"Jonathan Pintaro","33980",702752
"Cristian Mena","ARI",1,1,1,4.35458,13,2,0,1,,18,78,18,10,9,2,7,,1,16,8.06094,3.40488,2.36747,1.09398,0.209794,0.0886155,0.12117870897054672,0.254062,1.35467,0.302503,0.69752,,,4.20286,0.0706847,0.0304403,999,,,,,,,73.80000000000003,4.100000000000001,76,4.222222222222222,,,,,,,,,,,,,,,,,,,"Cristian Mena","27974",691441
"Robert Stephenson","LAA",2,2,0,3.60238,38,0,3,1,,38,159,31,17,15,5,14,,2,43,10.157,3.41386,2.97523,1.216,0.269774,0.0906736,0.17910074442625046,0.215742,1.1898,0.270901,0.752141,,,3.91427,0.0694247,0.0565219,612.2100219726562,,,,,,,196.1,5.160526315789474,182,4.7894736842105265,,,,,,,,,,,,,,,,,,,"Robert Stephenson","13594",596112
"Andrew Chafin",,2,2,0,4.18605,34,0,0,0,,34,150,31,17,16,4,17,,2,36,9.50157,4.39036,2.16419,1.11421,0.239535,0.110681,0.12885397672653198,0.236645,1.40289,0.294446,0.727802,,,4.25471,0.0676136,0.0897055,999,,,,,,,136.80000000000004,4.023529411764707,133,3.911764705882353,,,,,,,,,,,,,,,,,,,"Andrew Chafin","12988",605177
"Mitchell Parker","WSN",2,1,2,5.02355,31,3,0,1,,47,202,49,29,26,7,16,,2,34,6.50386,3.11042,2.09099,1.37611,0.167379,0.0800475,0.08733132481575012,0.268923,1.40101,0.295999,0.666722,,,4.8562,0.0664174,-0.0843292,999,,,,,,,152.30000000000004,3.2404255319148945,162,3.4468085106382977,,,,,,,,,,,,,,,,,,,"Mitchell Parker","27636",680730
"Alan Rangel","PHI",1,0,1,4.71098,13,2,0,1,,21,88,20,12,11,4,7,,1,17,7.52368,2.93352,2.56473,1.52415,0.196697,0.0766933,0.12000418454408646,0.251146,1.29988,0.280084,0.685148,,,4.78082,0.0659584,0.0279708,999,,,,,,,68.2,3.2476190476190476,67,3.1904761904761907,,,,,,,,,,,,,,,,,,,"Alan Rangel","19524",660604
"Javier Assad","CHC",3,3,3,4.49743,53,3,0,5,,65,275,63,35,32,8,24,,3,52,7.22022,3.41149,2.11644,1.1718,0.188219,0.0889319,0.09928745776414871,0.253479,1.35123,0.290048,0.689022,,,4.50419,0.0658429,0.0464477,999,,,,,,,261.8,4.027692307692308,264,4.061538461538461,,,,,,,,,,,,,,,,,,,"Javier Assad","21741",665871
