Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zuher Yousuf","PHI",0,0,0,5.97211,1,1,0,0,,4.02222,17,4,3,3,1,2,0,0,3,5.66032,3.89869,1.45185,1.81529,0.145943,0.100522,0.04542088508605957,0.268966,1.46228,0.276214,0.625069,,,5.94926,-0.016771,-0.0378747,999,,,,,,,7.0644431114196795,1.756353338404932,7.111110210418701,1.767955656355247,,,,,,,,,,,,,,,,,,,"Zuher Yousuf","sa3024271",823358
"Ernesto Jaquez",,0,0,0,6.04652,1,1,0,0,,2.30571,11,3,2,2,0,1,0,0,1,5.42306,5.70283,0.950943,1.57079,0.125364,0.131831,-0.006467282772064209,0.273019,1.75631,0.284302,0.676284,,,6.2824,-0.0168297,-0.0548079,999,,,,,,,8.262263393402101,3.5833902983128487,10.52855634689331,4.566294352081005,,,,,,,,,,,,,,,,,,,"Ernesto Jaquez","sa3004869",677656
"Jeremy Lee",,0,0,0,5.90587,1,1,0,0,,2.95031,14,3,2,2,0,2,0,0,2,4.79502,4.61243,1.03959,1.49897,0.112152,0.107882,0.0042705535888671875,0.283059,1.69614,0.292076,0.669475,,,5.94139,-0.0168382,-0.0163846,999,,,,,,,12.03231511116028,4.0783183720663185,12.751564264297485,4.322105790217616,,,,,,,,,,,,,,,,,,,"Jeremy Lee","sa3023227",814109
"Kyle Larsen","PIT",0,0,0,5.91131,1,1,0,0,,2.34436,11,3,2,2,0,1,0,0,2,5.96043,5.65064,1.05482,1.54833,0.141134,0.133799,0.007335290312767029,0.267216,1.69803,0.283271,0.672978,,,6.10974,-0.0168563,-0.0556478,999,,,,,,,10.54829306602478,4.4994264502859,12.721819639205933,5.426554933781485,,,,,,,,,,,,,,,,,,,"Kyle Larsen","sa3021983",701686
"Ezequiel Ventura",,0,0,0,6.07875,1,1,0,0,,2.62144,12,3,2,2,0,1,0,0,1,4.44475,4.15693,1.06924,1.62754,0.109513,0.102421,0.0070914626121521,0.282332,1.58981,0.285239,0.637501,,,6.0421,-0.0168766,-0.0357034,999,,,,,,,10.598687267303468,4.043071817041976,12.107221126556396,4.618530888300224,,,,,,,,,,,,,,,,,,,"Ezequiel Ventura","sa3011859",683652
"Ryan Hawks","SEA",0,0,0,5.47794,1,1,0,0,,5.0176,21,5,3,3,1,2,0,0,2,4.03364,3.2349,1.24691,1.40242,0.105864,0.084901,0.02096325159072876,0.273796,1.40727,0.276759,0.6244,,,5.48392,-0.0168781,-0.0102311,999,,,,,,,9.830219268798832,1.9591487478836165,10.08798599243164,2.0105212900459426,,,,,,,,,,,,,,,,,,,"Ryan Hawks","sa3022999",686470
"Ryan Cardona","CIN",0,0,0,6.20777,1,1,0,0,,4.31144,18,4,3,3,1,2,0,0,2,4.80898,4.68052,1.02745,1.59023,0.125453,0.122102,0.003351174294948578,0.274186,1.53087,0.280323,0.605775,,,6.0813,-0.0168933,-0.0127324,999,,,,,,,7.204631233215332,1.6710511629511937,6.557183265686035,1.5208812730472836,,,,,,,,,,,,,,,,,,,"Ryan Cardona","sa3017470",701318
"Jackson Humphries","CLE",0,0,0,5.58034,1,1,0,0,,3.64539,17,4,2,2,1,2,0,0,3,6.58454,6.14093,1.07224,1.30355,0.160874,0.150036,0.01083827018737793,0.256541,1.6585,0.28386,0.674086,,,5.78269,-0.0170897,0.0218046,999,,,,,,,4.275891542434694,1.1729583566957411,5.226953744888306,1.4338528033940365,,,,,,,,,,,,,,,,,,,"Jackson Humphries","sa3021729",703469
"Grant Judkins",,0,0,0,6.04083,1,1,0,0,,4.67402,20,5,3,3,1,2,0,0,2,4.68885,3.61069,1.2986,1.62021,0.122233,0.0941266,0.028106190264225006,0.283043,1.48025,0.288954,0.608323,,,5.78301,-0.0171286,-0.00712201,999,,,,,,,7.287732505798342,1.5592008101099706,8.370089530944824,1.790769675884599,,,,,,,,,,,,,,,,,,,"Grant Judkins","sa3015004",680420
"Gabriel Aguilera",,0,0,0,6.2291,1,1,0,0,,3.79978,17,4,3,3,1,2,0,0,2,4.55102,4.88157,0.932287,1.50435,0.11482,0.123159,-0.008339464664459229,0.28096,1.61205,0.287942,0.621246,,,6.08741,-0.0171873,-0.0423676,999,,,,,,,3.4183482646942185,0.8996181753143354,3.9988839626312256,1.0523997016078952,,,,,,,,,,,,,,,,,,,"Gabriel Aguilera","sa3009494",683733
